PVWatts: Hourly PV Performance Data;;;;;;;;;;
Requested Location:;montpelleir, france;;;;;;;;;
Location:;MONTPELLIER, FRANCE;;;;;;;;;
Lat (deg N):;43.58;;;;;;;;;
Lng (deg E):;3.97;;;;;;;;;
Elev (m):;6;;;;;;;;;
DC System Size (kW):;8.505;;;;;;;;;
Module Type:;Premium;;;;;;;;;
Array Type:;Fixed (open rack);;;;;;;;;
Array Tilt (deg):;0;;;;;;;;;
Array Azimuth (deg):;180;;;;;;;;;
System Losses:;14.08;;;;;;;;;
Invert Efficiency:;96;;;;;;;;;
DC to AC Size Ratio:;1.2;;;;;;;;;
;;;;;;;;;;
Month;Day;Hour;Beam Irradiance (W/m^2);Diffuse Irradiance (W/m^2);Ambient Temperature (C);Wind Speed (m/s);Plane of Array Irradiance (W/m^2);Cell Temperature (C);DC Array Output (W);AC System Output (W)
1;8;0;0;0;4.8;4.1;0;4.8;0;0
1;8;1;0;0;3;4.1;0;3;0;0
1;8;2;0;0;3.1;5.1;0;3.1;0;0
1;8;3;0;0;3.3;6.2;0;3.3;0;0
1;8;4;0;0;3;4.1;0;3;0;0
1;8;5;0;0;5;5.1;0;5;0;0
1;8;6;0;0;5.9;5.1;0;5.9;0;0
1;8;7;0;0;4;3;0;4;0;0
1;8;8;0;11;4;1;11;1.6;86.966;41.994
1;8;9;253;46;7.9;7.2;88.864;8.183;575.066;520.609
1;8;10;320;115;10;8.2;206.958;12.07;1467.099;1392.617
1;8;11;502;116;11;10.8;300.957;13.951;2148.227;2056.113
1;8;12;577;112;12.1;9.8;346.728;15.924;2480.095;2378.655
1;8;13;490;142;12;9.7;337.899;15.766;2431.844;2331.789
1;8;14;486;105;12;9.7;274.075;14.923;1932.157;1845.855
1;8;15;330;86;12;8.7;170.062;13.64;1165.246;1097.93
1;8;16;51;46;10;8.2;52.489;9.888;381.75;331.175
1;8;17;0;2;9;8.7;2;8.079;15.481;0
1;8;18;0;0;8.2;8.2;0;8.2;0;0
1;8;19;0;0;8;8.2;0;8;0;0
1;8;20;0;0;8;6.1;0;8;0;0
1;8;21;0;0;7.1;6.2;0;7.1;0;0
1;8;22;0;0;7.5;7.4;0;7.5;0;0
1;8;23;0;0;7.9;8.6;0;7.9;0;0
1;9;0;0;0;8.3;9.8;0;8.3;0;0
1;9;1;0;0;7.5;7.9;0;7.5;0;0
1;9;2;0;0;6.7;6;0;6.7;0;0
1;9;3;0;0;5.9;4.1;0;5.9;0;0
1;9;4;0;0;5;3;0;5;0;0
1;9;5;0;0;3;1;0;3;0;0
1;9;6;0;0;1.2;1;0;1.2;0;0
1;9;7;0;0;2;3;0;2;0;0
1;9;8;0;10;3;4.1;10;1.548;79.073;34.246
1;9;9;171;49;5.7;3.1;78.136;5.787;532.745;479.152
1;9;10;268;120;8;4.1;197.37;10.895;1418.251;1344.956
1;9;11;407;147;10;5.1;297.645;14.715;2143.99;2051.991
1;9;12;441;169;10.3;5.1;349.306;16.182;2529.762;2426.885
1;9;13;433;167;11;3;341.137;18.49;2448.037;2347.518
1;9;14;375;146;12;3;277.445;17.928;1970.683;1883.361
1;9;15;291;98;12.3;3.1;172.944;15.481;1195.427;1127.412
1;9;16;42;49;11;0;54.464;12.271;397.599;346.711
1;9;17;0;3;9;2;3;7.149;23.292;0
1;9;18;0;0;7.2;3.1;0;7.2;0;0
1;9;19;0;0;6;3;0;6;0;0
1;9;20;0;0;5;4.1;0;5;0;0
1;9;21;0;0;4.8;4.1;0;4.8;0;0
1;9;22;0;0;3.1;3.8;0;3.1;0;0
1;9;23;0;0;1.3;3.4;0;1.3;0;0
1;10;0;0;0;-0.4;3.1;0;-0.4;0;0
1;10;1;0;0;-1.1;3.1;0;-1.1;0;0
1;10;2;0;0;-1.8;3.1;0;-1.8;0;0
1;10;3;0;0;-2.5;3.1;0;-2.5;0;0
1;10;4;0;0;-2;2;0;-2;0;0
1;10;5;0;0;-2;4.1;0;-2;0;0
1;10;6;0;0;-1.6;3.1;0;-1.6;0;0
1;10;7;0;0;-2;1;0;-2;0;0
1;10;8;0;11;-3;2;11;-4.986;88.819;43.813
1;10;9;329;35;1.1;3.1;91.412;1.485;573.533;519.108
1;10;10;329;116;6;3;211.455;9.635;1511.384;1435.818
1;10;11;431;145;9;4.1;305.308;14.556;2197.511;2104.042
1;10;12;507;144;11;5.1;352.387;16.96;2532.078;2429.134
1;10;13;437;167;12;2;343.827;20.659;2449.882;2349.31
1;10;14;381;147;13;5.1;281.586;17.667;2002.802;1914.622
1;10;15;297;99;13;2;176.348;16.864;1213.928;1145.483
1;10;16;59;49;10;3;56.85;10.069;411.387;360.227
1;10;17;0;3;7;2;3;5.122;23.448;0
1;10;18;0;0;6;2.1;0;6;0;0
1;10;19;0;0;4;1;0;4;0;0
1;10;20;0;0;3;2;0;3;0;0
1;10;21;0;0;3.3;3.1;0;3.3;0;0
1;10;22;0;0;0;2;0;0;0;0
1;10;23;0;0;0;1;0;0;0;0
1;11;0;0;0;-0.8;1;0;-0.8;0;0
1;11;1;0;0;-0.8;1.4;0;-0.8;0;0
1;11;2;0;0;-0.9;1.7;0;-0.9;0;0
1;11;3;0;0;-0.9;2.1;0;-0.9;0;0
1;11;4;0;0;-1;4.1;0;-1;0;0
1;11;5;0;0;-1;2;0;-1;0;0
1;11;6;0;0;-1.3;2.1;0;-1.3;0;0
1;11;7;0;0;-2;2;0;-2;0;0
1;11;8;0;11;-2;3;11;-3.7;88.457;43.458
1;11;9;327;36;0.7;3.1;92.461;1.109;583.53;528.9
1;11;10;300;119;4;4.1;206.509;7.099;1496.578;1421.375
1;11;11;289;168;6;5.1;276.049;10.281;2043.425;1954.156
1;11;12;188;185;8;4.1;262.699;12.752;1958.941;1871.93
1;11;13;119;208;9;5.1;256.459;13.012;1924.817;1838.709
1;11;14;122;167;10;4.1;210.44;13.578;1564.645;1487.763
1;11;15;70;114;9.2;3.1;132.439;11.199;987.97;924.676
1;11;16;0;40;8.1;3.1;40;7.607;310.093;260.915
1;11;17;0;2;7;3.1;2;5.299;15.623;0
1;11;18;0;0;5.9;3.1;0;5.9;0;0
1;11;19;0;0;7;3;0;7;0;0
1;11;20;0;0;7;4.1;0;7;0;0
1;11;21;0;0;7.2;4.1;0;7.2;0;0
1;11;22;0;0;7;5.1;0;7;0;0
1;11;23;0;0;7;5.1;0;7;0;0
1;12;0;0;0;7;5.1;0;7;0;0
1;12;1;0;0;7;5.1;0;7;0;0
1;12;2;0;0;7;5.1;0;7;0;0
1;12;3;0;0;7;5.1;0;7;0;0
1;12;4;0;0;7;5.1;0;7;0;0
1;12;5;0;0;7;4.1;0;7;0;0
1;12;6;0;0;6.8;4.1;0;6.8;0;0
1;12;7;0;0;7;4.1;0;7;0;0
1;12;8;0;6;7;4.1;6;5.495;46.838;2.6
1;12;9;0;50;7.3;5.1;50;6.857;388.576;337.866
1;12;10;9;113;8;4.1;115.64;9.032;889.093;827.984
1;12;11;16;161;8.6;4.1;167.015;10.911;1276.379;1206.471
1;12;12;38;177;9.2;4.1;192.796;12.193;1463.374;1388.983
1;12;13;37;173;9.8;4.1;188.166;12.752;1425.385;1351.917
1;12;14;28;145;10.4;4.1;155.051;12.619;1174.246;1106.722
1;12;15;3;97;11;4.1;97.799;11.895;746.322;688.29
1;12;16;0;33;10.6;3.8;33;9.916;253.879;205.781
1;12;17;0;2;10.2;3.4;2;8.584;15.455;0
1;12;18;0;0;9.8;3.1;0;9.8;0;0
1;12;19;0;0;9.5;3.1;0;9.5;0;0
1;12;20;0;0;9.3;3.1;0;9.3;0;0
1;12;21;0;0;9;3.1;0;9;0;0
1;12;22;0;0;8.7;3.1;0;8.7;0;0
1;12;23;0;0;8.5;3.1;0;8.5;0;0
1;13;0;0;0;8.2;3.1;0;8.2;0;0
1;13;1;0;0;8.2;3.4;0;8.2;0;0
1;13;2;0;0;8.3;3.8;0;8.3;0;0
1;13;3;0;0;8.3;4.1;0;8.3;0;0
1;13;4;0;0;8.3;3.8;0;8.3;0;0
1;13;5;0;0;8.3;3.4;0;8.3;0;0
1;13;6;0;0;8.3;3.1;0;8.3;0;0
1;13;7;0;0;8;4.1;0;8;0;0
1;13;8;0;3;9;4.1;3;7.451;23.269;0
1;13;9;0;24;8.9;5.1;24;7.959;185.84;139.031
1;13;10;0;54;9;4.1;54;8.625;417.221;365.945
1;13;11;0;77;9.8;4.1;77;10.006;592.205;537.396
1;13;12;0;89;10.6;4.1;89;11.13;681.94;625.267
1;13;13;0;87;11.2;2.7;87;11.813;665.096;608.776
1;13;14;0;72;11.8;1.4;72;12.103;549.889;495.947
1;13;15;0;46;12.4;0;46;11.465;352.069;302.075
1;13;16;0;23;12;2;23;10.741;176.46;129.827
1;13;17;0;2;9;3;2;7.263;15.522;0
1;13;18;0;0;8.1;3.1;0;8.1;0;0
1;13;19;0;0;7.8;3.1;0;7.8;0;0
1;13;20;0;0;7.5;3.1;0;7.5;0;0
1;13;21;0;0;7.2;3.1;0;7.2;0;0
1;13;22;0;0;8.2;4.1;0;8.2;0;0
1;13;23;0;0;9.2;5.2;0;9.2;0;0
1;14;0;0;0;10.2;6.2;0;10.2;0;0
1;14;1;0;0;10;4.1;0;10;0;0
1;14;2;0;0;9.5;5.1;0;9.5;0;0
1;14;3;0;0;9;6.1;0;9;0;0
1;14;4;0;0;9;6.1;0;9;0;0
1;14;5;0;0;8;7.2;0;8;0;0
1;14;6;0;0;8;8.2;0;8;0;0
1;14;7;0;0;6;7.2;0;6;0;0
1;14;8;0;12;7;7.2;12;6.051;93.506;48.413
1;14;9;216;58;7;8.7;96.224;7.356;650.612;594.594
1;14;10;300;122;8;8.7;211.124;10.041;1519.206;1443.447
1;14;11;248;170;9;8.7;264.323;11.888;1955.427;1868.51
1;14;12;25;188;9.1;9.8;198.519;10.946;1516.452;1440.761
1;14;13;3;163;9;11.8;164.247;10.187;1261.772;1192.208
1;14;14;0;107;8;10.8;107;8.541;826.944;767.185
1;14;15;0;47;7.8;10.8;47;7.576;364.397;314.162
1;14;16;0;17;8;7.2;17;7.184;131.974;86.171
1;14;17;0;1;8;4.1;1;6.427;7.783;0
1;14;18;0;0;7;4.1;0;7;0;0
1;14;19;0;0;8;10.8;0;8;0;0
1;14;20;0;0;9;10.8;0;9;0;0
1;14;21;0;0;9;6.2;0;9;0;0
1;14;22;0;0;9;5.1;0;9;0;0
1;14;23;0;0;8.9;5.1;0;8.9;0;0
1;15;0;0;0;8.8;5.1;0;8.8;0;0
1;15;1;0;0;9.2;4.8;0;9.2;0;0
1;15;2;0;0;9.7;4.4;0;9.7;0;0
1;15;3;0;0;10.1;4.1;0;10.1;0;0
1;15;4;0;0;10;5.6;0;10;0;0
1;15;5;0;0;10;7.2;0;10;0;0
1;15;6;0;0;10.9;8.2;0;10.9;0;0
1;15;7;0;0;11;8.7;0;11;0;0
1;15;8;0;12;11;8.2;12;10.158;92.245;47.176
1;15;9;154;69;11.7;9.8;96.508;12.067;669.875;613.455
1;15;10;391;102;13;11.8;218.951;14.791;1524.084;1448.205
1;15;11;501;122;13;10.8;313.74;16.133;2236.005;2141.471
1;15;12;484;154;13.6;9.8;358.96;17.606;2586.456;2481.925
1;15;13;513;130;13.8;10.8;344.712;17.403;2472.826;2371.595
1;15;14;383;133;14;11.8;274.047;16.566;1958.757;1871.751
1;15;15;175;118;14.2;13.9;166.328;15.343;1193.122;1125.161
1;15;16;42;59;14;10.8;65.255;14.075;476.765;424.302
1;15;17;0;5;13;8.2;5;12.128;38.184;0
1;15;18;0;0;12.6;8.2;0;12.6;0;0
1;15;19;0;0;12;8.2;0;12;0;0
1;15;20;0;0;12;13.8;0;12;0;0
1;15;21;0;0;12.5;12.9;0;12.5;0;0
1;15;22;0;0;12.6;11.9;0;12.6;0;0
1;15;23;0;0;12.7;10.8;0;12.7;0;0
1;16;0;0;0;12.8;9.8;0;12.8;0;0
1;16;1;0;0;12.6;8.6;0;12.6;0;0
1;16;2;0;0;12.4;7.4;0;12.4;0;0
1;16;3;0;0;12.2;6.2;0;12.2;0;0
1;16;4;0;0;12;6.1;0;12;0;0
1;16;5;0;0;12;11.8;0;12;0;0
1;16;6;0;0;11.5;8.2;0;11.5;0;0
1;16;7;0;0;12;9.7;0;12;0;0
1;16;8;0;12;12;8.7;12;11.202;91.925;46.862
