"PVWatts: Hourly PV Performance Data"
"Requested Location:","toulouse"
"Location:","MONTPELLIER, FRANCE"
"Lat (deg N):","43.58"
"Lng (deg E):","3.97"
"Elev (m):","6"
"DC System Size (kW):","8.505"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","0"
"Array Azimuth (deg):","180"
"System Losses:","14"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.2"

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","7","22","0","0","5","4.1","0","5","0","0"
"1","7","23","0","0","4","4.1","0","4","0","0"
"1","8","0","0","0","4.8","4.1","0","4.8","0","0"
"1","8","1","0","0","3","4.1","0","3","0","0"
"1","8","2","0","0","3.1","5.1","0","3.1","0","0"
"1","8","3","0","0","3.3","6.2","0","3.3","0","0"
"1","8","4","0","0","3","4.1","0","3","0","0"
"1","8","5","0","0","5","5.1","0","5","0","0"
"1","8","6","0","0","5.9","5.1","0","5.9","0","0"
"1","8","7","0","0","4","3","0","4","0","0"
"1","8","8","0","11","4","1","11","1.6","89.306","44.291"
"1","8","9","253","46","7.9","7.2","88.864","8.183","574.575","520.128"
"1","8","10","320","115","10","8.2","206.958","12.07","1468.714","1394.193"
"1","8","11","502","116","11","10.8","300.957","13.951","2144.459","2052.448"
"1","8","12","577","112","12.1","9.8","346.728","15.924","2472.679","2371.453"
"1","8","13","490","142","12","9.7","337.899","15.766","2429.351","2329.367"
"1","8","14","486","105","12","9.7","274.075","14.923","1924.004","1837.918"
"1","8","15","330","86","12","8.7","170.062","13.64","1160.525","1093.317"
"1","8","16","51","46","10","8.2","52.489","9.888","386.979","336.3"
"1","8","17","0","2","9","8.7","2","8.079","15.792","0"
"1","8","18","0","0","8.2","8.2","0","8.2","0","0"
"1","8","19","0","0","8","8.2","0","8","0","0"
"1","8","20","0","0","8","6.1","0","8","0","0"
"1","8","21","0","0","7.1","6.2","0","7.1","0","0"
"1","8","22","0","0","7.5","7.4","0","7.5","0","0"
"1","8","23","0","0","7.9","8.6","0","7.9","0","0"
"1","9","0","0","0","8.3","9.8","0","8.3","0","0"
"1","9","1","0","0","7.5","7.9","0","7.5","0","0"
"1","9","2","0","0","6.7","6","0","6.7","0","0"
"1","9","3","0","0","5.9","4.1","0","5.9","0","0"
"1","9","4","0","0","5","3","0","5","0","0"
"1","9","5","0","0","3","1","0","3","0","0"
"1","9","6","0","0","1.2","1","0","1.2","0","0"
"1","9","7","0","0","2","3","0","2","0","0"
"1","9","8","0","10","3","4.1","10","1.548","81.205","36.339"
"1","9","9","171","49","5.7","3.1","78.136","5.787","536.518","482.849"
"1","9","10","268","120","8","4.1","197.37","10.895","1424.307","1350.866"
"1","9","11","407","147","10","5.1","297.645","14.715","2144.76","2052.741"
"1","9","12","441","169","10.3","5.1","349.306","16.182","2530.776","2427.869"
"1","9","13","433","167","11","3","341.137","18.49","2442.175","2341.824"
"1","9","14","375","146","12","3","277.445","17.928","1964.123","1876.974"
"1","9","15","291","98","12.3","3.1","172.944","15.481","1191.22","1123.303"
"1","9","16","42","49","11","0","54.464","12.271","402.356","351.374"
"1","9","17","0","3","9","2","3","7.149","23.784","0"
"1","9","18","0","0","7.2","3.1","0","7.2","0","0"
"1","9","19","0","0","6","3","0","6","0","0"
"1","9","20","0","0","5","4.1","0","5","0","0"
"1","9","21","0","0","4.8","4.1","0","4.8","0","0"
"1","9","22","0","0","3.1","3.8","0","3.1","0","0"
"1","9","23","0","0","1.3","3.4","0","1.3","0","0"
"1","10","0","0","0","-0.4","3.1","0","-0.4","0","0"
"1","10","1","0","0","-1.1","3.1","0","-1.1","0","0"
"1","10","2","0","0","-1.8","3.1","0","-1.8","0","0"
"1","10","3","0","0","-2.5","3.1","0","-2.5","0","0"
"1","10","4","0","0","-2","2","0","-2","0","0"
"1","10","5","0","0","-2","4.1","0","-2","0","0"
"1","10","6","0","0","-1.6","3.1","0","-1.6","0","0"
"1","10","7","0","0","-2","1","0","-2","0","0"
"1","10","8","0","11","-3","2","11","-4.986","91.796","46.736"
"1","10","9","329","35","1.1","3.1","91.412","1.485","572.776","518.367"
"1","10","10","329","116","6","3","211.455","9.635","1516.815","1441.115"
"1","10","11","431","145","9","4.1","305.308","14.556","2197.814","2104.337"
"1","10","12","507","144","11","5.1","352.387","16.96","2527.024","2424.226"
"1","10","13","437","167","12","2","343.827","20.659","2438.016","2337.785"
"1","10","14","381","147","13","5.1","281.586","17.667","1996.754","1908.736"
"1","10","15","297","99","13","2","176.348","16.864","1207.684","1139.384"
"1","10","16","59","49","10","3","56.85","10.069","416.689","365.424"
"1","10","17","0","3","7","2","3","5.122","23.993","0"
"1","10","18","0","0","6","2.1","0","6","0","0"
"1","10","19","0","0","4","1","0","4","0","0"
"1","10","20","0","0","3","2","0","3","0","0"
"1","10","21","0","0","3.3","3.1","0","3.3","0","0"
"1","10","22","0","0","0","2","0","0","0","0"
"1","10","23","0","0","0","1","0","0","0","0"
"1","11","0","0","0","-0.8","1","0","-0.8","0","0"
"1","11","1","0","0","-0.8","1.4","0","-0.8","0","0"
"1","11","2","0","0","-0.9","1.7","0","-0.9","0","0"
"1","11","3","0","0","-0.9","2.1","0","-0.9","0","0"
"1","11","4","0","0","-1","4.1","0","-1","0","0"
"1","11","5","0","0","-1","2","0","-1","0","0"
"1","11","6","0","0","-1.3","2.1","0","-1.3","0","0"
"1","11","7","0","0","-2","2","0","-2","0","0"
"1","11","8","0","11","-2","3","11","-3.7","91.31","46.258"
"1","11","9","327","36","0.7","3.1","92.461","1.109","583.224","528.6"
"1","11","10","300","119","4","4.1","206.509","7.099","1507.531","1432.059"
"1","11","11","289","168","6","5.1","276.049","10.281","2060.359","1970.633"
"1","11","12","188","185","8","4.1","262.699","12.752","1976.659","1889.178"
"1","11","13","119","208","9","5.1","256.459","13.012","1945.705","1859.045"
"1","11","14","122","167","10","4.1","210.44","13.578","1578.569","1501.34"
"1","11","15","70","114","9.2","3.1","132.439","11.199","999.918","936.358"
"1","11","16","0","40","8.1","3.1","40","7.607","316.488","267.186"
"1","11","17","0","2","7","3.1","2","5.299","15.983","0"
"1","11","18","0","0","5.9","3.1","0","5.9","0","0"
"1","11","19","0","0","7","3","0","7","0","0"
"1","11","20","0","0","7","4.1","0","7","0","0"
"1","11","21","0","0","7.2","4.1","0","7.2","0","0"
"1","11","22","0","0","7","5.1","0","7","0","0"
"1","11","23","0","0","7","5.1","0","7","0","0"
"1","12","0","0","0","7","5.1","0","7","0","0"
"1","12","1","0","0","7","5.1","0","7","0","0"
"1","12","2","0","0","7","5.1","0","7","0","0"
"1","12","3","0","0","7","5.1","0","7","0","0"
"1","12","4","0","0","7","5.1","0","7","0","0"
"1","12","5","0","0","7","4.1","0","7","0","0"
"1","12","6","0","0","6.8","4.1","0","6.8","0","0"
"1","12","7","0","0","7","4.1","0","7","0","0"
"1","12","8","0","6","7","4.1","6","5.495","47.909","3.651"
"1","12","9","0","50","7.3","5.1","50","6.857","396.9","346.026"
"1","12","10","9","113","8","4.1","115.64","9.032","905.453","843.985"
"1","12","11","16","161","8.6","4.1","167.015","10.911","1297.087","1226.69"
"1","12","12","38","177","9.2","4.1","192.796","12.193","1483.912","1409.019"
"1","12","13","37","173","9.8","4.1","188.166","12.752","1444.495","1370.563"
"1","12","14","28","145","10.4","4.1","155.051","12.619","1190.196","1122.302"
"1","12","15","3","97","11","4.1","97.799","11.895","758.052","699.771"
"1","12","16","0","33","10.6","3.8","33","9.916","258.484","210.298"
"1","12","17","0","2","10.2","3.4","2","8.584","15.757","0"
"1","12","18","0","0","9.8","3.1","0","9.8","0","0"
"1","12","19","0","0","9.5","3.1","0","9.5","0","0"
"1","12","20","0","0","9.3","3.1","0","9.3","0","0"
"1","12","21","0","0","9","3.1","0","9","0","0"
